排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
44,机器人执行器,BK1145,1867.86,84.09,4.71,592515152000,9.84,22,4,联诚精密,9.97
176,低碳冶金,BK0979,935.07,41.81,4.68,307433872000,1.18,8,0,八一钢铁,9.9
87,减5速器,BK1100,1755.86,77.16,4.6,740199680000,12.83,51,10,联诚精密,9.97
94,汽车一体化压铸,BK1093,1245.27,41.99,3.49,373467488000,6.48,28,1,三祥新材,10.0
41,BC电池,BK1148,895.0,29.46,3.4,397442800000,3.09,19,3,海目星,10.1
148,国资云概念,BK1008,1830.16,55.89,3.15,477757408000,9.59,15,4,美利云,10.0
70,PLC概念,BK1119,1513.51,45.44,3.1,411826256000,6.07,7,2,伟创电气,11.18
312,租售同权,BK0822,757.24,21.58,2.93,434874528000,2.82,17,1,皇庭国际,10.09
346,券商概念,BK0711,1127.87,30.79,2.81,4106725568000,1.59,56,0,中国银河,9.98
261,MLCC,BK0890,1941.83,50.29,2.66,215442347000,3.56,12,2,利和兴,11.67
90,TOPCon电池,BK1097,745.4,18.88,2.6,615550512000,2.96,37,3,海目星,10.1
80,科创板做市商,BK1107,1443.83,36.28,2.58,1818905808000,0.83,14,0,中国银河,9.98
6,人形机器人,BK1184,1557.49,38.99,2.57,1848336976000,8.61,65,24,五洲新春,10.01
171,华为汽车,BK0984,2039.92,49.4,2.48,1750662416000,4.7,82,19,横河精密,20.0
39,新型工业化,BK1150,1266.31,29.94,2.42,1771533760000,5.52,74,17,卓郎智能,9.89
323,工业4.0,BK0810,2462.49,56.89,2.36,2852306080000,4.59,115,17,康欣新材,10.24
187,固态电池,BK0968,1691.82,39.05,2.36,5078020096000,3.43,145,22,圣阳股份,9.98
58,同步磁阻电机,BK1131,1662.82,37.89,2.33,76861630000,13.48,4,2,伟创电气,11.18
89,生物质能发电,BK1098,936.61,21.1,2.3,202896491000,2.21,24,2,富春环保,10.02
96,机器人概念,BK1090,1789.38,39.72,2.27,7425800704000,6.28,371,105,宝通科技,19.99
