排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,商业百货,BK0482,17381.63,592.74,3.53,572063136000,5.22,56,5,深 赛 格,10.05
2,食品饮料,BK0438,26112.39,794.28,3.14,1564948352000,3.13,106,12,庄园牧场,10.04
3,电池,BK1033,1069.32,29.73,2.86,2167187888000,5.35,60,14,圣阳股份,10.0
4,美容护理,BK1035,825.72,18.18,2.25,285595152000,2.53,22,6,上海家化,7.9
5,旅游酒店,BK0485,14443.98,316.41,2.24,339226960000,3.73,34,3,凯撒旅业,9.92
6,航空机场,BK0420,4814.54,94.36,2.0,678746768000,1.67,13,1,春秋航空,4.39
7,能源金属,BK1015,481.76,8.71,1.84,343378976000,3.27,10,2,寒锐钴业,5.72
8,酿酒行业,BK0477,49512.42,845.22,1.74,3604371056000,1.44,37,2,海南椰岛,10.0
9,石油行业,BK0464,5589.53,93.62,1.7,3541398336000,0.29,15,5,广聚能源,10.01
10,纺织服装,BK0436,10783.36,149.67,1.41,529101312000,2.76,73,23,日播时尚,10.01
11,游戏,BK1046,1271.63,16.71,1.33,386019744000,7.85,16,11,宝通科技,17.27
12,工程机械,BK0739,1868.63,22.8,1.24,744681296000,2.55,17,16,威博液压,17.05
13,汽车整车,BK1029,1692.79,18.59,1.11,2387362432000,2.36,14,10,动力新科,10.07
14,家用轻工,BK0440,41765.04,452.77,1.1,285160480000,3.79,25,12,天元宠物,15.18
15,珠宝首饰,BK0734,363.75,3.59,1.0,139974060000,1.4,12,4,飞亚达,6.81
16,包装材料,BK0733,947.52,9.27,0.99,126162520000,2.87,20,8,紫江企业,10.0
17,装修建材,BK0476,12347.88,110.88,0.91,431695904000,2.86,41,24,康欣新材,10.18
18,房地产服务,BK1045,1145.92,9.67,0.85,92221603000,4.77,9,5,群兴玩具,10.02
19,银行,BK0475,3703.96,30.9,0.84,13413485824000,0.25,37,0,中信银行,2.92
20,保险,BK0474,1418.0,11.3,0.8,2878768208000,0.52,2,3,天茂集团,4.44
21,化学制药,BK0465,28437.16,213.14,0.76,1666757664000,1.97,81,53,纳微科技,15.04
22,汽车服务,BK1016,975.13,6.86,0.71,71685969000,3.17,6,7,建邦科技,4.44
23,农牧饲渔,BK0433,12977.43,81.75,0.63,943779360000,2.54,48,36,宏辉果蔬,9.95
24,中药,BK1040,1336.38,7.78,0.59,870878368000,1.66,50,17,长药控股,10.44
25,生物制品,BK1044,854.53,4.83,0.57,1329918336000,1.52,42,33,诺诚健华-U,10.19
26,化学原料,BK1019,784.57,3.69,0.47,874751184000,1.42,42,36,三祥新材,8.36
27,铁路公路,BK0421,8778.01,39.47,0.45,757986720000,0.54,16,10,海汽集团,4.57
28,工程咨询服务,BK0726,723.63,3.03,0.42,191130378000,2.88,13,28,汉嘉设计,20.02
29,医疗器械,BK1041,836.88,2.37,0.28,1353194736000,2.13,49,69,奥泰生物,15.54
30,航运港口,BK0450,9437.13,26.02,0.28,990478256000,0.54,15,11,海峡股份,4.23
31,造纸印刷,BK0470,8890.18,22.03,0.25,245367909000,3.86,21,18,南王科技,8.18
32,物流行业,BK0422,6333.95,15.55,0.25,892756368000,1.1,26,26,东方嘉盛,3.66
33,农药兽药,BK0730,963.27,1.95,0.2,262829815000,1.74,23,24,驱动力,5.96
34,公用事业,BK0427,8122.25,15.98,0.2,185609466000,1.13,5,12,联美控股,9.98
35,家电行业,BK0456,21581.36,40.32,0.19,1955174656000,3.71,47,44,东贝集团,9.93
36,房地产开发,BK0451,12576.38,21.4,0.17,1066513472000,1.95,42,43,大名城,9.97
37,贸易行业,BK0484,9878.66,12.36,0.13,326322400000,3.01,17,18,ST沪科,3.93
38,水泥建材,BK0424,23875.55,29.49,0.12,341042784000,1.8,11,14,海南瑞泽,10.0
39,医疗服务,BK0727,1088.44,0.88,0.08,734982304000,3.44,16,26,普瑞眼科,7.29
40,塑料制品,BK0454,13766.73,10.24,0.07,418749600000,6.38,37,50,江苏博云,20.01
41,化学制品,BK0538,23732.65,13.04,0.05,1294632336000,2.23,67,90,百合花,9.98
42,燃气,BK1028,1450.09,0.71,0.05,273270672000,0.89,13,15,凯添燃气,6.58
43,电机,BK1030,2265.11,0.81,0.04,266336499000,8.48,10,16,祥明智能,8.34
44,仪器仪表,BK0458,16294.0,4.95,0.03,353439888000,5.51,24,47,宁水集团,9.98
45,电网设备,BK0457,26443.69,-8.26,-0.03,1237953344000,2.99,45,85,天正电气,10.06
46,医药商业,BK1042,996.0,-0.59,-0.06,319767440000,1.12,13,14,人民同泰,1.55
47,专业服务,BK1043,1207.96,-1.02,-0.08,207006721000,1.89,17,19,奥浦迈,2.8
48,非金属材料,BK1020,1263.89,-1.24,-0.1,390211264000,4.23,13,20,宁新新材,6.63
49,装修装饰,BK0725,511.9,-0.55,-0.11,122273227000,2.54,13,23,华立股份,5.12
50,证券,BK0473,144986.08,-164.28,-0.11,3417769424000,1.69,13,36,中国银河,10.0
51,汽车零部件,BK0481,39896.76,-64.38,-0.16,1988340528000,5.76,86,134,雪龙集团,9.98
52,工程建设,BK0425,22187.53,-37.02,-0.17,1422468336000,0.94,21,43,诚邦股份,10.02
53,专用设备,BK0910,2699.38,-5.93,-0.22,1684500736000,5.86,90,166,灵鸽科技,29.95
54,钢铁行业,BK0479,7359.0,-17.36,-0.24,887546976000,1.99,14,34,杭钢股份,10.01
55,玻璃玻纤,BK0546,34871.07,-90.16,-0.26,339528848000,1.73,7,15,海南发展,10.01
56,小金属,BK1027,1975.28,-5.64,-0.28,662780064000,2.61,12,26,天和磁材,9.99
57,化肥行业,BK0731,1311.2,-4.14,-0.31,382582080000,1.78,4,20,泸天化,3.54
58,电力行业,BK0428,15335.5,-51.02,-0.33,2920871056000,0.8,16,59,绿能慧充,9.95
59,船舶制造,BK0729,806.18,-2.74,-0.34,354642384000,1.0,3,7,ST瑞科,3.04
60,化纤行业,BK0471,13842.35,-47.45,-0.34,451365216000,1.61,11,17,恒力石化,3.78
61,采掘行业,BK1017,1099.87,-3.83,-0.35,288220448000,0.87,7,14,广东宏大,6.55
62,通用设备,BK0545,36491.85,-137.52,-0.38,1370652336000,6.63,77,137,华丰股份,9.99
63,煤炭行业,BK0437,10045.34,-41.03,-0.41,1632601744000,0.7,6,28,新大洲A,4.56
64,半导体,BK1036,1584.07,-6.76,-0.42,5138980864000,4.38,47,112,天德钰,13.56
65,交运设备,BK0429,9346.28,-40.52,-0.43,671161568000,1.31,14,36,时代电气,5.84
66,综合行业,BK0539,10250.03,-45.17,-0.44,193328960000,3.09,5,15,粤桂股份,3.35
67,橡胶制品,BK1018,1415.66,-6.79,-0.48,286038848000,2.03,11,21,科隆新材,6.12
68,环保行业,BK0728,412.97,-2.28,-0.55,627981488000,2.85,32,84,上海洗霸,10.02
69,电子化学品,BK1039,1638.9,-10.01,-0.61,295586896000,4.42,6,21,光华科技,10.01
70,多元金融,BK0738,561.76,-3.99,-0.71,445668688000,1.3,2,20,海德股份,3.29
71,教育,BK0740,687.74,-5.21,-0.75,92448192000,6.18,4,11,全通教育,2.18
72,有色金属,BK0478,16434.87,-133.22,-0.8,1506185312000,1.99,13,58,鑫铂股份,5.54
